#IXO 3.2 m diameter 20 m focal length prescription file,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"P Reid June 7, 2008",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"Use Shells 73-172 (outer module); 185-302 (middle module), and 321-461 (inner module).",,,,,,,,,,,,,,,,,
#"Outer module also missing shells 85, 99, 113,...,169 (left off for weight savings)",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Prescription forms:,,,,,,,,,,,,,,,,,
#,primary - ,r^2 = (d+a+z)^2 - (a+z)^2,,,,,,,,,,,,,,,
#,secondary - ,r^2 = e^2 * (d+z)^2 - z^2,,,,,,,,,,,,,,,
## Note: For the primary, r = r(z), and z runs from 20025 to 20225.  Then
##  r_int = r(20025) 
##  r_aft = r(20225)
#,,,,,,,,,,,,,,,,,
#,"where z=axial direction, z= 0 at nominal on-axis focus, P runs from Z = 20025 mm to 20225 mm,
## and S runs from Z = 19975 mm to 19775 mm",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
shell,r_int (mm),r_aft (mm),r_for (mm),alpha (rad),graze (rad),d (mm),e,a (mm),ca (cm^2),graze (rad),rh forward,rh aft,Weight (kg),h graze (rad)
138,1305.520308,1305.927678,1309.182072,0.016295885,0.016270533,21.276491862,1.001063259,20042.5642889227,267.368907333876,0.016270533,1304.297079,1294.506610,3.289102,0.048913297
139,1301.287804,1301.693856,1304.937727,0.016243202,0.016217932,21.138940026,1.001056388,20042.2890396243,265.640375944788,0.016217932,1300.068535,1290.309768,3.278439,0.048755167
140,1297.066019,1297.470757,1300.704131,0.016190652,0.016165463,21.002179200,1.001049558,20042.0153741217,263.921784699556,0.016165463,1295.850700,1286.123555,3.267803,0.048597432
141,1292.854926,1293.258353,1296.481257,0.016138233,0.016113125,20.866205151,1.001042766,20041.7432839193,262.213080418035,0.016113125,1291.643548,1281.947945,3.257193,0.048440093
142,1288.654497,1289.056618,1292.269078,0.016085945,0.016060919,20.731013669,1.001036013,20041.4727605834,260.514210167308,0.016060919,1287.447051,1277.782910,3.246611,0.048283149
143,1284.464706,1284.865523,1288.067565,0.016033789,0.016008843,20.596600565,1.001029300,20041.2037957176,258.825121336483,0.016008843,1283.261181,1273.628423,3.236055,0.048126597
144,1280.285525,1280.685041,1283.876691,0.015981763,0.015956898,20.462961671,1.001022625,20040.9363809576,257.145761546883,0.015956898,1279.085911,1269.484457,3.225526,0.047970438
145,1276.116927,1276.515145,1279.696430,0.015929867,0.015905083,20.330092844,1.001015988,20040.6705080113,255.476078719468,0.015905083,1274.921214,1265.350986,3.215024,0.047814670
146,1271.958884,1272.355808,1275.526753,0.015878102,0.015853398,20.197989959,1.001009390,20040.4061685964,253.816021022302,0.015853398,1270.767063,1261.227981,3.204548,0.047659292
147,1267.811370,1268.207002,1271.367634,0.015826466,0.015801842,20.066648913,1.001002829,20040.1433544911,252.165536900648,0.015801842,1266.623430,1257.115416,3.194099,0.047504304
148,1263.674357,1264.068702,1267.219045,0.015774960,0.015750416,19.936065626,1.000996306,20039.8820575243,250.524575091879,0.015750416,1262.490289,1253.013264,3.183676,0.047349704
149,1259.547818,1259.940879,1263.080960,0.015723582,0.015699118,19.806236038,1.000989821,20039.6222695473,248.89308455053,0.015699118,1258.367612,1248.921500,3.173280,0.047195492
150,1255.431727,1255.823507,1258.953352,0.015672334,0.015647949,19.677156111,1.000983374,20039.3639824672,247.271014545812,0.015647949,1254.255374,1244.840095,3.162910,0.047041665
